specimen,name,area,county ,ecoregion,region,corep,material
41JW0008_109,41JW8,27x98,Jim Wells,Western Gulf Coastal Plain,southwest,Core,ellenburger
41JW0008_110,41JW8,27x98,Jim Wells,Western Gulf Coastal Plain,southwest,Core,root beer edwards
41JW0008_111,41JW8,27x98,Jim Wells,Western Gulf Coastal Plain,southwest,Core,cienega
41JW0008_112,41JW8,27x98,Jim Wells,Western Gulf Coastal Plain,southwest,Core,edwards
41JW0008_113,41JW8,27x98,Jim Wells,Western Gulf Coastal Plain,southwest,Core,ogallala
41JW0008_114,41JW8,27x98,Jim Wells,Western Gulf Coastal Plain,southwest,Core,root beer edwards
41JW0008_115,41JW8,27x98,Jim Wells,Western Gulf Coastal Plain,southwest,Core,edwards
41JW0008a_060,41JW8,27x98,Jim Wells,Western Gulf Coastal Plain,southwest,Core,edwards
41JW0008a_063,41JW8,27x98,Jim Wells,Western Gulf Coastal Plain,southwest,Core,edwards
41JW0008a_065,41JW8,27x98,Jim Wells,Western Gulf Coastal Plain,southwest,Core,edwards
41JW0008a_067,41JW8,27x98,Jim Wells,Western Gulf Coastal Plain,southwest,Core,root beer edwards
41JW0008a_069,41JW8,27x98,Jim Wells,Western Gulf Coastal Plain,southwest,Core,edwards
41JW0008a_073,41JW8,27x98,Jim Wells,Western Gulf Coastal Plain,southwest,Core,edwards
41JW0008a_075,41JW8,27x98,Jim Wells,Western Gulf Coastal Plain,southwest,Core,ellenburger
41JW0008a_078,41JW8,27x98,Jim Wells,Western Gulf Coastal Plain,southwest,Core,edwards
41JW0008a_080,41JW8,27x98,Jim Wells,Western Gulf Coastal Plain,southwest,Core,edwards
41JW0008a_082,41JW8,27x98,Jim Wells,Western Gulf Coastal Plain,southwest,Core,edwards
41JW0008a_086,41JW8,27x98,Jim Wells,Western Gulf Coastal Plain,southwest,Core,edwards
41JW0008a_088,41JW8,27x98,Jim Wells,Western Gulf Coastal Plain,southwest,Core,cienega
41JW0008a_091,41JW8,27x98,Jim Wells,Western Gulf Coastal Plain,southwest,Core,root beer edwards
41JW0008a_094,41JW8,27x98,Jim Wells,Western Gulf Coastal Plain,southwest,Core,root beer edwards
41JW0008a_097,41JW8,27x98,Jim Wells,Western Gulf Coastal Plain,southwest,Core,edwards
41JW0008a_099,41JW8,27x98,Jim Wells,Western Gulf Coastal Plain,southwest,Core,root beer edwards
41JW0008a_103,41JW8,27x98,Jim Wells,Western Gulf Coastal Plain,southwest,Core,cienega
41JW0008a_107,41JW8,27x98,Jim Wells,Western Gulf Coastal Plain,southwest,Core,root beer edwards
41LK51_024,41LK51,28x98,Live Oak,Southern Texas Plains,southwest,Core,edwards
41LK51_035,41LK51,28x98,Live Oak ,Southern Texas Plains,southwest,Core,root beer edwards
41LK51a_36,42LK51,28x98,Live Oak,Southern Texas Plains,southwest,Core,root beer edwards
41LK64_40,41LK64,28x98,Live Oak,Southern Texas Plains,southwest,Core,cienega
41MC19_026,41MC19,28x98,McMullen,Southern Texas Plains,southwest,Core,cienega
41MC19a_047,41MC19,28x98,McMullen,Southern Texas Plains,southwest,Core,root beer edwards
41MC211_001,41MC211,28x98,McMullen,Southern Texas Plains,southwest,Core,root beer edwards
41MC269_001,41MC269,28x98,McMullen,Southern Texas Plains,southwest,Core,florence
41MC269_002,41MC269,28x98,McMullen,Southern Texas Plains,southwest,Core,root beer edwards
41MC275_39,41MC275,28x98,McMullen,Southern Texas Plains,southwest,Core,cienega
41MC296_012,41MC296,28x98,McMullen,Southern Texas Plains,southwest,Core,edwards
41MC296_013,41MC296,28x98,McMullen,Southern Texas Plains,southwest,Core,pedernales river
41MC296_014,41MC296,28x98,McMullen,Southern Texas Plains,southwest,Core,root beer edwards
41MC296_016,41MC296,28x98,McMullen,Southern Texas Plains,southwest,Core,root beer edwards
41MC296_017,41MC296,28x98,McMullen,Southern Texas Plains,southwest,Core,edwards
41MC296_019,41MC296,28x98,McMullen,Southern Texas Plains,southwest,Core,pedernales river
41MC296_043,41MC296,28x98,McMullen,Southern Texas Plains,southwest,Core,pedernales river
41MC296_048,41MC269,28x98,McMullen,Southern Texas Plains,southwest,Core,edwards
41MC296_049,41MC296,28x98,McMullen,Southern Texas Plains,southwest,Core,edwards
41MC296a_020,41MC296,28x98,McMullen,Southern Texas Plains,southwest,Core,root beer edwards
41MC296a_044,41MC296,28x98,McMullen,Southern Texas Plains,southwest,Core,root beer edwards
41MC296a_050,41MC296,28x98,McMullen,Southern Texas Plains,southwest,Core,edwards
41MC55_021,41MC55,28x98,McMullen,Southern Texas Plains,southwest,Core,edwards
41MC55_25,41MC55,28x98,McMullen,Southern Texas Plains,southwest,Core,florence
41MC63a_23,41MC63,28x98,McMullen,Southern Texas Plains,southwest,Core,root beer edwards
41ZV83_125,41ZV83,28x99,Zavala,Southern Texas Plains,southwest,Core,cienega
41ZV83_126,41ZV83,28x99,Zavala,Southern Texas Plains,southwest,Core,edwards
41ZV85_119,ranch,28x100,Zavala,Southern Texas Plains,southwest,Core,edwards
41ZV85_120,41ZV85,28x100,Zavala,Southern Texas Plains,southwest,Core,edwards
malloufsulross046,41BS2646,29x103,Brewster,Chihuahuan Deserts,transpecos,Periphery,ogallala
malloufsulross047,41BS2646,29x103,Brewster,Chihuahuan Deserts,transpecos,Periphery,ogallala
malloufsulross048,41BS2646,29x103,Brewster,Chihuahuan Deserts,transpecos,Periphery,edwards
malloufsulross049,n/a,29x103,Brewster,Chihuahuan Deserts,transpecos,Periphery,edwards
sulross001,41BS1507,29x103,Presidio,Chihuahuan Deserts,transpecos,Periphery,florence
sulross002,n/a,29x103,Presidio,Chihuahuan Deserts,transpecos,Periphery,quartzite
sulross003,41BS1507,29x103,Presidio,Chihuahuan Deserts,transpecos,Periphery,root beer edwards
sulross004,41BS1507,29x103,Presidio,Chihuahuan Deserts,transpecos,Periphery,root beer edwards
sulross006,41BS1507,29x103,Brewster,Chihuahuan Deserts,transpecos,Periphery,root beer edwards
sulross007,n/a,29x103,Brewster,Chihuahuan Deserts,transpecos,Periphery,root beer edwards
sulross011,41BS1507,29x103,Brewster,Chihuahuan Deserts,transpecos,Periphery,florence
sulross012,n/a,29x103,Brewster,Chihuahuan Deserts,transpecos,Periphery,edwards
sulross013,41BS1507,29x103,Brewster,Chihuahuan Deserts,transpecos,Periphery,jasper
sulross014,41BS1507,29x103,Brewster,Chihuahuan Deserts,transpecos,Periphery,jasper
sulross015,41BS1507,29x103,Brewster,Chihuahuan Deserts,transpecos,Periphery,edwards
sulross017,n/a,29x103,Brewster,Chihuahuan Deserts,transpecos,Periphery,jasper
sulross018,41BS1507,29x103,Brewster,Chihuahuan Deserts,transpecos,Periphery,jasper
sulross020,41BS1507,29x103,Brewster,Chihuahuan Deserts,transpecos,Periphery,jasper
sulross021,41BS1507,29x103,Brewster,Chihuahuan Deserts,transpecos,Periphery,florence
sulross023,n/a,29x103,Brewster,Chihuahuan Deserts,transpecos,Periphery,jasper
sulross024,41BS1507,29x103,Brewster,Chihuahuan Deserts,transpecos,Periphery,jasper
sulross027,41BS1507,29x103,Brewster,Chihuahuan Deserts,transpecos,Periphery,root beer edwards
sulross028,n/a,29x103,Brewster,Chihuahuan Deserts,transpecos,Periphery,jasper
sulross029,41BS1507,29x103,Brewster,Chihuahuan Deserts,transpecos,Periphery,jasper
sulross030,41BS1507,29x103,Brewster,Chihuahuan Deserts,transpecos,Periphery,edwards
sulross031,n/a,29x103,Brewster,Chihuahuan Deserts,transpecos,Periphery,edwards
sulross032,n/a,29x103,Brewster,Chihuahuan Deserts,transpecos,Periphery,jasper
sulross033,41BS1507,29x103,Brewster,Chihuahuan Deserts,transpecos,Periphery,jasper
sulross036,41BS1507,29x103,Brewster,Chihuahuan Deserts,transpecos,Periphery,edwards
sulross037,n/a,29x103,Brewster,Chihuahuan Deserts,transpecos,Periphery,jasper
sulross038,n/a,29x103,Brewster,Chihuahuan Deserts,transpecos,Periphery,jasper
sulross040,41BS1507,29x103,Brewster,Chihuahuan Deserts,transpecos,Periphery,jasper
sulross041,41BS1507,29x103,Brewster,Chihuahuan Deserts,transpecos,Periphery,florence
sulross042,n/a,29x103,Brewster,Chihuahuan Deserts,transpecos,Periphery,jasper
sulross043,41BS1507,29x103,Brewster,Chihuahuan Deserts,transpecos,Periphery,jasper
sulross50,41PS306,30x104,Presidio,Chihuahuan Deserts,transpecos,Periphery,n/a
